slug,title,location,client,date,size,projectCost,architect,contractor,description,tags
lidl-us-llc-paramus-new-jersey,"LiDL US - Paramus, New Jersey","Paramus, New Jersey",,,,,,,"Starting in 2023, PH&C began assisting the LiDL US team with their store development projects in the PA, NJ and DE markets as an External Construction Manager. On February 12, 2025, we participated in our 3rd store grand opening, which occurred in Paramus, NJ. Our team worked with the Architect and Engineers to value engineer",retail | remediation | demolition | project-management | grocery
lidl-us-llc-totowa-new-jersey,"LiDL US - Totowa, New Jersey","Totowa, New Jersey",,,,,,,"Starting in 2023, PH&C began assisting the Lidl US team with their store development projects in the PA, NJ and DE markets as an External Construction Manager. We have continued to perform for Lidl and assist in opening new stores! On February 4, 2026, we participated in another store grand opening, which occurred in Totowa",retail | remediation | demolition | project-management | grocery
lidl-us-llc-yonkers-new-york,"LiDL US - Yonkers, New York","Yonkers, New York",,,,,,,"Starting in 2023, PH&C began assisting the Lidl US team with their store development projects in the PA, NJ and DE markets as an External Construction Manager. In 2025 they asked us to expand our reach into New York state and we were excited to accept this opportunity! On October 22, 2025, we participated in",retail | remediation | demolition | project-management | grocery
national-biscuit-co-demo-and-phase-i-redevelopment,National Biscuit Co. Demo and Phase I Redevelopment - Philadelphia PA,Philadelphia PA,,,27 acres,,,,Redevelopment of a food production facility into retail and entertainment. An awarded project involving environmental clean-up,retail | remediation | demolition
national-biscuit-co-phase-ii-redevelopment,Redevelopment Project in Philadelphia: Reaching Completion in 2023,PH&C,,,27 acres,,,,Redevelopment of a food production facility into retail and entertainment,retail | landscaping | grocery | mixed-use
nemours-dupont-pediatrics-paoli-pa,"Nemours DuPont Pediatrics - Paoli, PA","Paoli, PA",,,"9,000 SF",,,,"9,000 sf Pediatric Care Facility / Medical Office 6,000 sf Bldg Gut and Renovation and 3,000 SF Expansion Site Improvements include SWM, Pedestrian access improvements, landscaping, lighting",healthcare | office | landscaping
newtown-square-pa-shopping-center,"Newton Square Shopping Center Renovations, Newton, PA",PH&C,,,,,,,"Renovation of this popular suburban shopping center located in Newtown Square, PA. Updating the façade appearance to a more modern design",retail | project-management
pa-state-police-barracks-media-pa,"PA State Police Barracks - Media, PA","Media, PA",,,"17,490 SF",,,,"Re-development project for the State Police in Delaware County PA, for a larger state-of-the-art facility to replace their old site",office | government | institutional | remediation | demolition | grant
pnc-bank-westtown,"PNC Bank - Westtown, PA","Westtown, PA",,,"4,020 SF",,,,"4,020sf Bank 3 Drive-Thru lanes with canopy PennDOT Access & Signal Improvements",retail
ponds-edge-community-middletown-delaware-county-pa,"Pond's Edge - Middletown Twp, PA","Middletown Twp, PA",,,197 units / 55 acres,,,,"Pond’s Edge is a 197 unit townhouse community on approximately 55 acres in Middletown Township, Delaware County. This residential community project has been a great success, allowing our client to move forward with the opening of the final phase of home construction in late 2023 into 2024. Key Features: We procured and managed multiple consultants",residential | retail | government
prices-corner-shopping-center-wilmington-de,"Prices Corner Shopping Center - Wilmington, DE","Wilmington, DE",,,,,Bignell Watkins Hasser,,We performed environmental remediation and demolished an out-parcel Sears Auto Center making a Chick-Fil-A restaurant and Chase Bank branch. We also performed a complete façade renewal and parking lot enhancements . PH&C oversaw the project’s execution in this open and operating shopping center,retail | remediation | project-management
river-pointe-residential-bridgeport-pa,"River Pointe Residential - Bridgeport, PA","Bridgeport, PA",,,250 units,,,Lennar,"Ground up development of this large land parcel started in 2022, and transitioned to home building for this new residential community in Summer of 2023. Sales of these LENNAR HOMES has been robust, and the last phase of homes are being constructed in 2025. Located on the banks of the scenic Schuylkill River, River Pointe",residential
sadsbury-commons-development,"Sadsbury Commons - Parkesburg, PA - Development",Development,,,"36,000 SF",,,,The Sadsbury Commons development will offer many benefits to the local communities including a state-of-the-art medical facility anchors the site and more,healthcare | retail | residential | office
shoprite-supermarket-south-brunswick-nj,"ShopRite Supermarket - South Brunswick, NJ","South Brunswick, NJ",,,,,,,"Development of a new state-of-the-art ShopRite Supermarket along the busy US-1 corridor benefitting the local community was a much needed improvement for this area of New Jersey. Modern storm water management features were designed and implemented, as well as a pedestrian trail connection adjacent to this busy intersection providing safe alternatives to driving. Our team worked",retail | office | landscaping | signage | grocery
shops-of-villanova-villanova-pa,"Shops of Villanova - Villanova, PA","Villanova, PA",,,"32,000 SF",,,,"32,000 sf Two story mixed use Medical Office and Retail Building redevelopment of existing Retail / Office campus 16,000 SF of Retail Building: Starbucks, First Watch, Bernie Robbins Jewelry, Bulldog Yoga, Snap Kitchen 16,000 SF of Class A Office Space 8,000 SF of Medical Offices for Bryn Mawr Dermatology and Cross Plastic Surgery Group",retail | office | healthcare | institutional | mixed-use
sicklerville-retail-shoppes,"Sicklerville Shoppes - Sicklerville/ Turnersville, NJ","Sicklerville/ Turnersville, NJ",,,,,,,"A environmental remediation construction project for three new retail buildings including Panda Express, Jersey Mikes, and a Vet",retail | remediation | demolition | project-management | landscaping | signage
storage-depot-west-whiteland-pa-development,"A Storage Depot - West Whiteland Twp, PA","West Whiteland Twp, PA",,,"88,000 SF",,,,"A suburban multi-Story Climate Controlled Self Storage depot development, using the latest sustainable stormwater management features",self-storage | office
terrace-street-lofts-manayunk-philadelphia,Terrace Street Lofts - Manayunk Philadelphia,Manayunk Philadelphia,,,"40,500 SF / 32 units",,,,"32 Unit / 40,500 SF / 4 Story Residential Complex 40 Space Parking Garage Underground Storm Water Retention Basins",residential
the-cottages-at-old-saucon,"The Cottages At Old Saucon - Bethlehem, PA","Bethlehem, PA",,,80 cottages,,,,"Continuing our expansion into Residential and Multi-Family community projects, we assisted a team of investors develop this brand new 55+ age-qualified community located in the beautiful Saucon Valley of Pennsylvania. Consisting of eighty classic cottages and a vibrant village center, The Cottages will be composed of simple sophistication for the discerning buyer which you can",residential
the-flats-on-pechin-street-roxborough-philadelphia,The Flats on Pechin Street - Roxborough Philadelphia,Roxborough Philadelphia,,,"40,000 SF / 42 units",,,,"42 Unit / 40,000 SF / 4 Story Residential Complex 50 space / 2 Story Parking Garage Underground Storm Water Retention Basins",residential
tulip-special-care-philadelphia-pa,"Tulip Special Care - Philadelphia, PA","Philadelphia, PA",,,"20,585 SF",$3.5 million,,,"Tulip Special Care is a 60 bed Skilled Nursing Facility specializing in the care of ventilator dependent adults. Key Features: 20,585 sf Complete Renovation to the 7th floor of the former Medial College of Pennsylvania Building Site Improvements include Exterior Oxygen Pad with tanks and delivery equipment, with O2 and Electrical lines running into building",healthcare | institutional
ussc-group-exton-pa,"USSC Group - Exton, PA","Exton, PA",,,"183,952 SF",,,,"Tenant Representative for 183,952 SF new warehouse. Underground stormwater management retention facilities. Provided a cross connection to the existing building, allowing two way fork lift traffic. Pre-engineered building, mid-level FF/FL floor. EFSR sprinkler system with fire pump",office
wawa-abington-jenkintown,"Wawa - Abington/Jenkintown, PA","Abington/Jenkintown, PA",,,,,,,"4,691sf Food Market with 12 fuel stations 3,500sf Bank with 3 Drive-Thru lanes with Canopy Soil Nail & Shot-crete Stone Look Retaining Wall Infividual NPDES Permit PennDOT & Township Access & Signal Improvements SEPTA Station Improvements",retail
wawa-and-retail-space-south-philadelphia-pa,"Wawa and Retail Space - Philadelphia, PA","Philadelphia, PA",,,,,,,"Existing Industrial Brownfield Demolition and Redevelopment 5,585 sf Wawa Food Market with 8 fuel canopy pump station 11,000 sf Mixed Use Retail: Xfinity Retail Store, Fine Wine and Spirits PennDOT Access Improvements Soil Remediation / Piles & Caissons Individual NPDES Permit",retail | remediation | demolition | mixed-use
wawa-bethlehem-pa,"Wawa - Bethlehem, PA","Bethlehem, PA",,,"5,585 SF",,,,"We are proud to continue with our assistance in developing another Wawa store that opened in December 2023. Our work for an individual land owner client included delivering a pad site to the Wawa Corporation specifications, and working with their General Contractor to successfully complete the construction. This site had the gamut of redevelopment challenges",retail | government | remediation | demolition | project-management
wawa-cherry-hill,"Wawa - Cherry Hill, NJ","Cherry Hill, NJ",,,"6,099 SF",,,,"6,099 sf food market with 12 fuel stations Over 1 million Site & Highway Improvements",retail
wawa-east-norriton-township-pa,"Wawa - East Norriton, PA","East Norriton, PA",,,"5,051 SF",,,,"We are proud to continue with our assistance in developing another Wawa store in their core market that opened in October 2023. Our work for a commercial real estate developer client included delivering a pad site to the Wawa Corporation specifications, and working with their General Contractor to successfully complete the construction. As usual, this",retail | government | remediation | demolition | project-management
wawa-expansion-maple-shade-nj,"Wawa - Maple Shade, NJ","Maple Shade, NJ",,,"5,585 SF",,,,"Assisting the Wawa Corporation in fulfilling their expansion plans including redevelopment, remediation, accessibility, management, and more",retail | remediation
wawa-gilbertsville-pa,"Wawa - Gilbertsville, PA","Gilbertsville, PA",,,"5,102 SF",,,,"5,102 sf Wawa Food Market with 6 fuel canopy pump stations Limited Access ROW Driveway and Public Bypass Roadway RT 100 Highway Improvements",retail
wawa-hatfield,"Wawa - Hatfield, PA","Hatfield, PA",,,"4,085 SF",,,,"4,085 sf food market with 12 fuel stations Site & Highway Improvements totaling $1 million",retail
wawa-hillsborough-tampa-fl,"Wawa - Hillsborough, Tampa FL","Hillsborough, Tampa FL",,,"5,537 SF",,,,"5,537sf Wawa Food Market with 16 fuel stations FDOT Highway Improvements",retail
wawa-lower-moreland,"Wawa - Lower Moreland, PA","Lower Moreland, PA",,,"4,085 SF",,,,"4,085sf Food arket with 12 fuel stations Over $2 million in site, highway, pedestrian circulation improvements Underground flood zone control basin in FEMA Flood Plain Pedestrian bridge",retail
wawa-retail-bldg-bank-trooper-pa,"Wawa/Retail Bldg/Bank - Trooper, PA","Trooper, PA",,,,,,,"5,535 sf Wawa Food Market with 16 fuel stations 8,000 sf Retail Building with Drive-Thru Smile Exchange, Good Shepherd Penn Partners and Shake Shack Retail Fit-Outs 3800 sf Citadel Bank w/ 3 Drive Thru Lanes PennDOT Signal & Access Improvements",retail
wawa-stroud-township-pa,"Wawa - Stroud Township, PA","Stroud Township, PA",,,"6,049 SF",,,,"We continue our assistance in developing Wawa stores, and our newest opened in April 2025. Our work for a developer on their first ever Wawa store included delivering a pad site to the Wawa Corporation specifications, and working with their General Contractor to successfully complete the construction. Our focus was on controlling costs and managing",retail | government | project-management
wawa-thorndale-caln-township-pa,"Wawa - Thorndale/Caln Township, PA","Thorndale/Caln Township, PA",,,"5,051 SF",,,,"5,051 SF Food Market with 12 fuel stations Individual NPDES Permit PennDOT & Township Access & Signal Improvements",retail
wawa-upper-moreland,"Wawa - Upper Moreland, PA","Upper Moreland, PA",,,,,,,"5,585sf Wawa Food Market with 12 fuel stations 10,000sf Mixed Use Retail Building Grubb Burger Restaurant, Sports Clips, Zoe’s Kitchen, Royal Bank SEPTA Station Pedestrian Improvements Stream Bank Repair / Riparian Buffer Restoration Stream Road Crossing PennDOT & Township Signal & Access Improvements Individual NPDES Permit",retail | mixed-use
wawa-upper-providence-township-pa-2-2-2,"Wawa - Feasterville, PA","Feasterville, PA",,,"4,736 SF",,,,"Assisting Wawa Corporation fulfill their expansion plans continues with this store in another key market targeted by Wawa and our developer client. As usual, this site had numerous redevelopment challenges including environmental remediation of multiple structures, demolition of said structures, wet and dry utility issues and relocations, storm water, vehicular and pedestrian management, as well",retail | government | remediation | demolition | project-management
wawa-upper-providence-township-pa-2,"Wawa - Westhampton, NJ","Westhampton, NJ",,,"5,585 SF",,,,"5,585 SF Food Market with Drive Thru and 6 fuel stations. Improvements to access and blacktop surfaces for neighboring business, TD Bank Pedestrian Sidewalks and Trail improvements and additions along Rancocas Rd. Landscape improvements and retaining walls for neighboring business park. (2) above ground storm-water infiltration basins. Individual NPDES Permit NJ DOT",retail
wawa-upper-providence-township-pa,"Wawa - Upper Providence Township, PA","Upper Providence Township, PA",,,"5,051 SF",,,,"Asbestos/hazardous material abatement and demolition of 3 structures, including the existing Wawa store. 5,051 SF Food Market with 10 fuel stations Improvements to access, parking and blacktop surfaces for neighboring business, QystTire.com Automotive Service Centers. Landscape improvements and retaining walls for neighboring residences. Individual NPDES Permit PennDOT & Township access & signal improvements",retail | remediation | demolition
wawa-west-whiteland-exton-pa,"Wawa - West Whiteland Township (Exton), PA","West Whiteland Township (Exton), PA",,,"5,585 SF",,,,"We continue our assistance in developing Wawa stores with this store opening in December 2024. Our work for an individual land owner client included delivering a pad site to the Wawa Corporation specifications, and working with their General Contractor to successfully complete the construction. This project included remediation and demolition of an existing gas station",retail | government | office | remediation | demolition
whitman-plaza-burlington-coat-factory-ross-dress-for-less,"Whitman Plaza - Philadelphia, PA","Philadelphia, PA",,,"120,000 SF",Over $7 million,,,"120,000 sqft Retail Building demolition and renovation for new tenants, Burlington Coat Factory & Ross Dress for Less Over $7 million investment Loading dock expansion Façade renovation Deep Foundation system",retail | remediation | demolition
